train_loss, train_accuracy, test_loss, test_accuracy
    0.0769,         97.420,    0.2998,        91.500
    0.0761,         97.434,    0.2845,        91.780
    0.0647,         97.826,    0.2564,        92.560
    0.0678,         97.764,    0.2892,        92.250
    0.0619,         97.958,    0.2400,        93.220
    0.0598,         97.986,    0.2569,        92.900
    0.0569,         98.098,    0.3320,        90.740
    0.0546,         98.192,    0.2765,        92.280
    0.0466,         98.500,    0.2730,        92.610
    0.0476,         98.418,    0.2406,        93.350
    0.0423,         98.616,    0.2913,        92.440
    0.0428,         98.570,    0.2417,        93.480
    0.0343,         98.904,    0.2164,        94.010
    0.0325,         98.952,    0.2271,        93.980
    0.0323,         98.990,    0.2292,        93.760
    0.0265,         99.160,    0.2542,        93.740
    0.0277,         99.080,    0.2500,        93.510
    0.0234,         99.280,    0.2411,        93.640
    0.0241,         99.210,    0.2137,        94.280
    0.0158,         99.570,    0.2459,        93.720
    0.0215,         99.330,    0.2351,        93.780
    0.0168,         99.524,    0.2121,        94.570
    0.0136,         99.612,    0.2232,        94.290
    0.0135,         99.616,    0.2248,        94.010
    0.0124,         99.648,    0.2101,        94.960
    0.0091,         99.752,    0.2035,        94.920
    0.0089,         99.758,    0.2147,        94.780
    0.0074,         99.806,    0.2098,        95.050
    0.0064,         99.844,    0.2283,        94.550
    0.0065,         99.842,    0.2228,        94.770
    0.0061,         99.852,    0.2092,        95.210
    0.0051,         99.894,    0.1972,        95.450
    0.0037,         99.936,    0.1921,        95.600
    0.0032,         99.944,    0.1943,        95.490
    0.0028,         99.944,    0.1988,        95.400
    0.0028,         99.944,    0.1973,        95.470
    0.0025,         99.960,    0.1939,        95.290
    0.0021,         99.972,    0.1931,        95.740
    0.0020,         99.970,    0.1888,        95.600
    0.0021,         99.958,    0.1914,        95.650
    0.0018,         99.976,    0.1860,        95.550
    0.0018,         99.976,    0.1922,        95.520
    0.0015,         99.984,    0.1876,        95.630
    0.0015,         99.988,    0.1895,        95.770
    0.0016,         99.982,    0.1900,        95.660
    0.0016,         99.972,    0.1863,        95.680
    0.0015,         99.982,    0.1863,        95.750
    0.0014,         99.992,    0.1833,        95.770
    0.0013,         99.988,    0.1836,        95.830
    0.0014,         99.986,    0.1837,        95.780
    0.0013,         99.994,    0.1847,        95.670
    0.0015,         99.984,    0.1819,        95.800
    0.0014,         99.988,    0.1825,        95.770
    0.0013,         99.988,    0.1820,        95.810
    0.0012,         99.998,    0.1822,        95.860
    0.0013,         99.988,    0.1828,        95.710
    0.0019,         99.978,    0.1833,        95.890
    0.0019,         99.982,    0.1861,        95.790
    0.0020,         99.980,    0.1874,        95.770
    0.0021,         99.966,    0.1890,        95.760
    0.0018,         99.988,    0.1833,        95.790
    0.0019,         99.970,    0.1899,        95.780
    0.0019,         99.978,    0.1925,        95.800
    0.0018,         99.984,    0.1875,        95.810
    0.0019,         99.982,    0.1877,        95.760
    0.0021,         99.976,    0.1834,        95.920
    0.0018,         99.984,    0.1870,        95.900
    0.0015,         99.988,    0.1864,        95.850
    0.0018,         99.982,    0.1920,        95.890
    0.0017,         99.990,    0.1852,        95.990
    0.0017,         99.990,    0.1870,        95.810
    0.0016,         99.988,    0.1849,        95.910
    0.0015,         99.990,    0.1895,        95.920
    0.0021,         99.960,    0.1848,        95.780
