# 大体同じものが出力されるはずだが，表示される順番が異なることがあるので注意．
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Conv2d-114          [-1, 128, 16, 16]         147,456
     BatchNorm2d-115          [-1, 128, 16, 16]             256
     BatchNorm2d-116          [-1, 128, 16, 16]             256
          Conv2d-117          [-1, 128, 16, 16]         147,456
          Conv2d-118          [-1, 512, 16, 16]          65,536
     BatchNorm2d-119          [-1, 128, 16, 16]             256
     BatchNorm2d-120          [-1, 512, 16, 16]           1,024
      Bottleneck-121          [-1, 512, 16, 16]               0
          Conv2d-122          [-1, 512, 16, 16]          65,536
          Conv2d-123          [-1, 128, 16, 16]          65,536
     BatchNorm2d-124          [-1, 128, 16, 16]             256
     BatchNorm2d-125          [-1, 512, 16, 16]           1,024
      Bottleneck-126          [-1, 512, 16, 16]               0
          Conv2d-127          [-1, 128, 16, 16]         147,456
          Conv2d-128          [-1, 128, 16, 16]          65,536
     BatchNorm2d-129          [-1, 128, 16, 16]             256
     BatchNorm2d-130          [-1, 128, 16, 16]             256
          Conv2d-131          [-1, 512, 16, 16]          65,536
          Conv2d-132          [-1, 128, 16, 16]         147,456
     BatchNorm2d-133          [-1, 512, 16, 16]           1,024
     BatchNorm2d-134          [-1, 128, 16, 16]             256
      Bottleneck-135          [-1, 512, 16, 16]               0
          Conv2d-136          [-1, 512, 16, 16]          65,536
          Conv2d-137          [-1, 128, 16, 16]          65,536
     BatchNorm2d-138          [-1, 128, 16, 16]             256
     BatchNorm2d-139          [-1, 512, 16, 16]           1,024
          Conv2d-140          [-1, 128, 16, 16]         147,456
      Bottleneck-141          [-1, 512, 16, 16]               0
     BatchNorm2d-142          [-1, 128, 16, 16]             256
          Conv2d-143          [-1, 128, 16, 16]          65,536
     BatchNorm2d-144          [-1, 128, 16, 16]             256
          Conv2d-145          [-1, 512, 16, 16]          65,536
     BatchNorm2d-146          [-1, 512, 16, 16]           1,024
          Conv2d-147          [-1, 128, 16, 16]         147,456
      Bottleneck-148          [-1, 512, 16, 16]               0
     BatchNorm2d-149          [-1, 128, 16, 16]             256
          Conv2d-150          [-1, 128, 16, 16]          65,536
     BatchNorm2d-151          [-1, 128, 16, 16]             256
          Conv2d-152          [-1, 512, 16, 16]          65,536
     BatchNorm2d-153          [-1, 512, 16, 16]           1,024
          Conv2d-154          [-1, 128, 16, 16]         147,456
      Bottleneck-155          [-1, 512, 16, 16]               0
     BatchNorm2d-156          [-1, 128, 16, 16]             256
          Conv2d-157          [-1, 128, 16, 16]          65,536
     BatchNorm2d-158          [-1, 128, 16, 16]             256
          Conv2d-159          [-1, 512, 16, 16]          65,536
     BatchNorm2d-160          [-1, 512, 16, 16]           1,024
          Conv2d-161          [-1, 128, 16, 16]         147,456
      Bottleneck-162          [-1, 512, 16, 16]               0
     BatchNorm2d-163          [-1, 128, 16, 16]             256
          Conv2d-164          [-1, 512, 16, 16]          65,536
     BatchNorm2d-165          [-1, 512, 16, 16]           1,024
      Bottleneck-166          [-1, 512, 16, 16]               0
          Conv2d-167          [-1, 256, 16, 16]         131,072
          Conv2d-168          [-1, 256, 16, 16]         131,072
     BatchNorm2d-169          [-1, 256, 16, 16]             512
     BatchNorm2d-170          [-1, 256, 16, 16]             512
          Conv2d-171            [-1, 256, 8, 8]         589,824
     BatchNorm2d-172            [-1, 256, 8, 8]             512
          Conv2d-173            [-1, 256, 8, 8]         589,824
     BatchNorm2d-174            [-1, 256, 8, 8]             512
          Conv2d-175           [-1, 1024, 8, 8]         262,144
